ಎಲಿಜಬೆತ್	Elizabeth
ಕವಿಗಳು	kavigalu
ತಮ್ಮ	tamma
ಕಲೆಯನ್ನು	kaleyannu
ಬಹುಮಟ್ಟಿಗೆ	bahumattige
ಅಧ್ಯಯನ	adhyayana
ಮಾಡಿದ್ದು	maadiddu
ಇಂತಹ	intaha
ಸಂಕಲನಗಳಲ್ಲಿ.೧೫೬೩ರಲ್ಲಿ	sankalanagalalli.1563ralli
ಥಾಮಸ್	Thomus
ಸ್ಟಾಕ್	shtochhk
ವಿಲ್	Vil
ಪ್ರಕಟಿಸಿದ	prakatisida
'ಇಂಡಕ್ಷನ್'	'induchhtion'
ಕ್ರುತಿಯು	krutiyu
ಕವಿಗಳು	kavigalu
ತಮ್ಮ	tamma
ತಂತ್ರ	tamtra
&ಭಾಷೆಯನ್ನು	&bhaasheyannu
,ಛಂದಸನ್ನು	,chhandasannu
ಕುರಿತು	kuritu
ಚರ್ಚಿಸಲು	chharchhisalu
ಅನುವು	anuvu
ನೀಡಿತು.	needitu.
</s>	</s>
ಬ್ಯಾಟರಿಗಳು	Byaatarigalu
ಕಡಿಮೆ	kadime
ಉಷ್ಣಾಂಶದಲ್ಲಿ	ushnaanshadalli
ಸಂಗ್ರಹಿಸಿಡಲ್ಪಟ್ಟಾಗ	samgrahisidalpattaaga
ಬದಿಯ	badiya
ಪ್ರತಿಕ್ರಿಯೆಗಳ	pratikriyegala
ಪ್ರಮಾಣವು	pramaanavu
ಕಡಿಮೆಯಾಗಲ್ಪಡುತ್ತದೆ,	kadimeyaagalpaduttade,
ಆದಾಗ್ಯೂ	aadaagyoo
ಕೆಲವು	kelavu
ಬ್ಯಾಟರಿಗಳು	byaatarigalu
ಘನೀಭವಿಸುವಿಕೆಯಿಂದ	ghaneebhavisuvikeyimda
ನಷ್ಟವಾಗಲ್ಪಡುತ್ತವೆ.	nashtavaagalpaduttave.
</s>	</s>
ವಿಷ್ಣುವು	Vishnuvu
ಕ್ಷೀರಸಾಗರದಲ್ಲಿ	ksheerasaagaradalli
ಶೇಷನಾಗನ	sheshanaagana
ಬೆನ್ನಿನ	bennina
ಮೇಲೆ	mele
ನಿದ್ರಿಸುತ್ತಾನೆಂದು	nidrisuttaanendu
ಹಿಂದೂಗಳು	hindoogalu
ನಂಬುತ್ತಾರೆ.	nambuttaare.
</s>	</s>
ಮೊದಲ	Modala
ಟರ್ನರ್ಸ್	turners
ಗುಂಪು	gumpu
ರಚನೆಯಾಯಿತು	rachhaneyaayitu
ಲಂಡನ್	London
ಸಿನ್ಸಿನ್ನಾಟಿ	Cinchinnati
ಮತ್ತು	mattu
ಅನೇಕ	aneka
ನಗರಗಳಲ್ಲಿ	nagaragalalli
1848	1848
ಟರ್ನರ್ಸ್	turners
ನಿರ್ಮಿಸಿದ	nirmisida
ವ್ಯಾಯಾಮಶಾಲೆಗಳು ರಲ್ಲಿ	vyaayaama shaalegalu
ಸೇಂಟ್	shaint
ಲೂಯಿಸ್ ದೊಡ್ಡ	Luis
ಹೊಂದಿದ್ದ	hondidda
ಜರ್ಮನ್	German
ಅಮೆರಿಕನ್	American
ಜನಸಂಖ್ಯೆಯನ್ನು.	jana sankyeyannu.
</s>	</s>
ಅಂದಿನಿಂದ	Andininda
ಅವರ	avara
ಮನೆತನದವರು	manetanadavaru
ಆ	aa
ಮಠಕ್ಕೆ	mathakke
ನಿಷ್ಠೆಯಿಂದ	nishtheyinda
ನಡೆದು	nadedu
ಕೊಳ್ಳುತ್ತಾರೆ.	kolluttaare.
</s>	</s>
ಆರ್ಯಭಟ	aaryabhata
ಪ್ರಶಸ್ತಿ	prashasti
</s>	</s>
ಈ	Ee
ಸಮಯದಲ್ಲಿಯೇ	samayadalliye
ಅವರು	avaru
ಮಾಲ್ಟಾದಲ್ಲಿ	maltadalli
ಒಂದು	ondu
ಸಂಕೇತ	sanketa
ತರಬೇತಿ	tarabeti
ಶಾಲೆಯನ್ನು	shaaleyannu
ಸ್ಥಾಪಿಸಿದ್ದುದು	sthaapisiddudu
ಹಾಗೂ	haagoo
ನೌಕಾದಳದ	naukaadalada
ಎಲ್ಲಾ	ellaa
ರೇಡಿಯೋ	radio
ಆಪರೇಟರ್‌ಗಳೊಂದಿಗೆ	operatorgalomdige
ಪರಿಚಯವನ್ನು	parichhayavannu
ಮಾಡಿಕೊಂಡುದುದಾಗಿತ್ತು.	maadikondududaagittu.
</s>	</s>
ಇವರು	Ivaru
ರಾಯ್,	Roy,
ಲಿಂಬು,	limbu,
ಮತ್ತು	mattu
ಗುರುಂಗ್	gurung
ಬುಡಕಟ್ಟಿಗೆ	budakattige
ಸೇರಿದ್ದು	seriddu
ನೇಪಾಳಿ	Nepali
ಭಾಷೆ	bhaashe
ಆಡುತ್ತಾರೆ.	aaduttaare.
</s>	</s>
ಹೂವುಗಳು	Hoovugalu
ಚಿಕ್ಕದಾಗಿದ್ದು,	chhikkadaagiddu,
ಬಿಳಿ	bili
ಬಣ್ಣವಾಗಿರುತ್ತದೆ	bannavaagiruttade
ಮತ್ತು	mattu
ಸುಗಂಧಭರಿತವಾಗಿರುತ್ತದೆ.	sugandhabharitavaagiruttade.
</s>	</s>
ಅಮೆರಿಕನ್‌	American
ಮೊಲ	mola
ಸಾಕಣೆಗಾರರ	saakanegaarara
ಸಂಘದ	sanghada
ಅನುಷಂಗವಾದ	anushangavaada
ಅಮೆರಿಕನ್	American
ಕೇವಿ	kevi
ಸಾಕಣೆಗಾರರ	saakanegaarara
ಸಂಘವು,	sanghavu,
ಅಮೆರಿಕಾ	amerikaa
ಸಂಯುಕ್ತ	samyukta
ಸಂಸ್ಥಾನ	samsthaana
ಮತ್ತು	mattu
ಕೆನಡಾ	Canada
ದೇಶಗಳಲ್ಲಿ	deshagalalli
ಗಿನಿಯಿಲಿ	giniyili
ಸಾಕಣೆಗಾರರ	saakanegaarara
ಆಡಳಿತ	aadalita
ವ್ಯವಸ್ಥೆಯಾಗಿದೆ.	vyavastheyaagide.
</s>	</s>
ದೇಶೀಯ	Desheeya
ಇಸ್ಪೀಟ್-ಗಂಜೀಫಾದ	ispeet-gamjeepaada
ಭಾರಿ	bhaari
ಸಂಗ್ರಹ	sangraha
ಇವರಲ್ಲಿದೆ.	ivarallide.
</s>	</s>
ಆಹಾರ	Ahaara
ಮತ್ತು	mattu
ಕೃಷಿ	krushi
ಸಂಸ್ಥೆ	samstheya
