ಎಲಿಜಬೆತ್ ಕವಿಗಳು ತಮ್ಮ ಕಲೆಯನ್ನು ಬಹುಮಟ್ಟಿಗೆ ಅಧ್ಯಯನ ಮಾಡಿದ್ದು ಇಂತಹ ಸಂಕಲನಗಳಲ್ಲಿ.೧೫೬೩ರಲ್ಲಿ ಥಾಮಸ್ ಸ್ಟಾಕ್ ವಿಲ್ ಪ್ರಕಟಿಸಿದ 'ಇಂಡಕ್ಷನ್' ಕ್ರುತಿಯು ಕವಿಗಳು ತಮ್ಮ ತಂತ್ರ &ಭಾಷೆಯನ್ನು ,ಛಂದಸನ್ನು ಕುರಿತು ಚರ್ಚಿಸಲು ಅನುವು ನೀಡಿತು.	24	Elizabeth kavigalu tamma kaleyannu bahumattige adhyayana maadiddu intaha sankalanagalalli.1563ralli Thomus shtochhk Vil prakatisida 'induchhtion' krutiyu kavigalu tamma tamtra &bhaasheyannu ,chhandasannu kuritu chharchhisalu anuvu needitu.	24	
ಬ್ಯಾಟರಿಗಳು ಕಡಿಮೆ ಉಷ್ಣಾಂಶದಲ್ಲಿ ಸಂಗ್ರಹಿಸಿಡಲ್ಪಟ್ಟಾಗ ಬದಿಯ ಪ್ರತಿಕ್ರಿಯೆಗಳ ಪ್ರಮಾಣವು ಕಡಿಮೆಯಾಗಲ್ಪಡುತ್ತದೆ, ಆದಾಗ್ಯೂ ಕೆಲವು ಬ್ಯಾಟರಿಗಳು ಘನೀಭವಿಸುವಿಕೆಯಿಂದ ನಷ್ಟವಾಗಲ್ಪಡುತ್ತವೆ.	13	Byaatarigalu kadime ushnaanshadalli samgrahisidalpattaaga badiya pratikriyegala pramaanavu kadimeyaagalpaduttade, aadaagyoo kelavu byaatarigalu ghaneebhavisuvikeyimda nashtavaagalpaduttave.	13	
ವಿಷ್ಣುವು ಕ್ಷೀರಸಾಗರದಲ್ಲಿ ಶೇಷನಾಗನ ಬೆನ್ನಿನ ಮೇಲೆ ನಿದ್ರಿಸುತ್ತಾನೆಂದು ಹಿಂದೂಗಳು ನಂಬುತ್ತಾರೆ.	8	Vishnuvu ksheerasaagaradalli sheshanaagana bennina mele nidrisuttaanendu hindoogalu nambuttaare.	8	
ಮೊದಲ ಟರ್ನರ್ಸ್ ಗುಂಪು ರಚನೆಯಾಯಿತು ಲಂಡನ್ ಸಿನ್ಸಿನ್ನಾಟಿ ಮತ್ತು ಅನೇಕ ನಗರಗಳಲ್ಲಿ 1848 ಟರ್ನರ್ಸ್ ನಿರ್ಮಿಸಿದ ವ್ಯಾಯಾಮಶಾಲೆಗಳು ರಲ್ಲಿ ಸೇಂಟ್ ಲೂಯಿಸ್ ದೊಡ್ಡ ಹೊಂದಿದ್ದ ಜರ್ಮನ್ ಅಮೆರಿಕನ್ ಜನಸಂಖ್ಯೆಯನ್ನು.	21	Modala turners gumpu rachhaneyaayitu London Cinchinnati mattu aneka nagaragalalli 1848 turners nirmisida vyaayaama shaalegalu shaint Luis hondidda German American jana sankyeyannu.	21	ಮೊದಲ ಟರ್ನರ್ಸ್ ಗುಂಪು ರಚನೆಯಾಯಿತು ಲಂಡನ್ ಸಿನ್ಸಿನ್ನಾಟಿ ಮತ್ತು ಅನೇಕ ನಗರಗಳಲ್ಲಿ 1848 ಟರ್ನರ್ಸ್ ನಿರ್ಮಿಸಿದ ವ್ಯಾಯಾಮಶಾಲೆಗಳು ಸೇಂಟ್ ಲೂಯಿಸ್ ಹೊಂದಿದ್ದ ಜರ್ಮನ್ ಅಮೆರಿಕನ್ ಜನಸಂಖ್ಯೆಯನ್ನು.
ಅಂದಿನಿಂದ ಅವರ ಮನೆತನದವರು ಆ ಮಠಕ್ಕೆ ನಿಷ್ಠೆಯಿಂದ ನಡೆದು ಕೊಳ್ಳುತ್ತಾರೆ.	8	Andininda avara manetanadavaru aa mathakke nishtheyinda nadedu kolluttaare.	8	
ಆರ್ಯಭಟ ಪ್ರಶಸ್ತಿ	2	aaryabhata prashasti	2	
ಈ ಸಮಯದಲ್ಲಿಯೇ ಅವರು ಮಾಲ್ಟಾದಲ್ಲಿ ಒಂದು ಸಂಕೇತ ತರಬೇತಿ ಶಾಲೆಯನ್ನು ಸ್ಥಾಪಿಸಿದ್ದುದು ಹಾಗೂ ನೌಕಾದಳದ ಎಲ್ಲಾ ರೇಡಿಯೋ ಆಪರೇಟರ್‌ಗಳೊಂದಿಗೆ ಪರಿಚಯವನ್ನು ಮಾಡಿಕೊಂಡುದುದಾಗಿತ್ತು.	16	Ee samayadalliye avaru maltadalli ondu sanketa tarabeti shaaleyannu sthaapisiddudu haagoo naukaadalada ellaa radio operatorgalomdige parichhayavannu maadikondududaagittu.	16	
ಇವರು ರಾಯ್, ಲಿಂಬು, ಮತ್ತು ಗುರುಂಗ್ ಬುಡಕಟ್ಟಿಗೆ ಸೇರಿದ್ದು ನೇಪಾಳಿ ಭಾಷೆ ಆಡುತ್ತಾರೆ.	10	Ivaru Roy, limbu, mattu gurung budakattige seriddu Nepali bhaashe aaduttaare.	10	
ಹೂವುಗಳು ಚಿಕ್ಕದಾಗಿದ್ದು, ಬಿಳಿ ಬಣ್ಣವಾಗಿರುತ್ತದೆ ಮತ್ತು ಸುಗಂಧಭರಿತವಾಗಿರುತ್ತದೆ.	6	Hoovugalu chhikkadaagiddu, bili bannavaagiruttade mattu sugandhabharitavaagiruttade.	6	
ಅಮೆರಿಕನ್‌ ಮೊಲ ಸಾಕಣೆಗಾರರ ಸಂಘದ ಅನುಷಂಗವಾದ ಅಮೆರಿಕನ್ ಕೇವಿ ಸಾಕಣೆಗಾರರ ಸಂಘವು, ಅಮೆರಿಕಾ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನ ಮತ್ತು ಕೆನಡಾ ದೇಶಗಳಲ್ಲಿ ಗಿನಿಯಿಲಿ ಸಾಕಣೆಗಾರರ ಆಡಳಿತ ವ್ಯವಸ್ಥೆಯಾಗಿದೆ.	19	American mola saakanegaarara sanghada anushangavaada American kevi saakanegaarara sanghavu, amerikaa samyukta samsthaana mattu Canada deshagalalli giniyili saakanegaarara aadalita vyavastheyaagide.	19	
ದೇಶೀಯ ಇಸ್ಪೀಟ್-ಗಂಜೀಫಾದ ಭಾರಿ ಸಂಗ್ರಹ ಇವರಲ್ಲಿದೆ.	5	Desheeya ispeet-gamjeepaada bhaari sangraha ivarallide.	5	
ಆಹಾರ ಮತ್ತು ಕೃಷಿ ಸಂಸ್ಥೆ (ವಿಶ್ವಸಂಸ್ಥೆಯ ಒಂದು ಶಾಖೆ)ಯ ಪ್ರಕಾರ, ಸವೆತದ ಮೂಲಕ ಉತ್ಪಾದಕ ಭೂಮಿಯ ಜಾಗತಿಕ ನಷ್ಟ ೫-೭ ಮಿಲಿಯನ್ ಹೆಕ್ಟೇರು ಪ್ರತಿ ವರ್ಷ ಎಂದು ಅಂದಾಜಿದಲಾಗಿದೆ.	21	Ahaara mattu krushi samstheya (vishvasanstheya ondu shaake) prakaara, savetada moolaka utpaadaka bhoomiya jaagatika nashta 5-7 million hectare prati varsha endu andaajisalaagide.	21	ಅಂದಾಜಿದಲಾಗಿದೆ changed to ಅಂದಾಜಿಸಲಾಗಿದೆ.
ನಿಗದಿಗೊಳಿಸಿದ ಪುನರಾವರ್ತನೆಯಾಗುವ ಅನುಸೂಚಿ ಅಥವಾ ಎಫ್‌ಆರ್‌ಎಸ್	5	Nigadigolisida punaraavartaneyaaguva anusoochhi athavaa FRsh	5	
ಜಸ್ಟ್ ಇನ್ ಟೈಮ್ ಅಥವಾ ಜೆಐಹೆಚ್	5	Just in time and JIH	5	
ಕೆಳಗಡೆಯೂ ರೇಖೆಗಳೇ ಊರೆಗಳು.	3	Kelagadeyoo rekegale ooregalu.	3	
ಬಿಬಿಸಿಯು ಈ ವ್ಯವಸ್ಥೆಯನ್ನು ವಿರಳವಾಗಿ ಬಳಸುತ್ತದೆ, ಉದಾಹರಣೆಗಾಗಿ ವೆಂಬ್ಲೇಯಲ್ಲಿ ನಡೆದ ೨೦೦೯ ಮಾಸ್ಟರ್ಸ್ ಪಂದ್ಯಾವಳಿಯಲ್ಲಿ ಹಾಕ್-ಐ ಅನ್ನು ಪ್ರತಿ ಫ್ರೇಮ್‌ಗೆ ಒಮ್ಮೆ ಅಥವಾ ಎರಡು ಬಾರಿ ಬಳಸಲಾಯಿತು.	20	BBCyu ee vyavastheyannu viralavaagi balasuttade, udaaharanegaagi Wembleyyalli nadeda 2009 masters pandyaavaliyalli hockey annu prati framege omme athavaa eradu baari balasalaayitu.	20	
ಅನ್ನು ಬೆಳೆಸಲಾಗುತ್ತದೆ.	2	aannu belesalaaguttade.	2	
ಭಾರತೀಯ ಕಾರ್ಯನಿರತ ಪತ್ರಕರ್ತರ ಒಕ್ಕೂಟದ ರಾಷ್ಟ್ರೀಯ ಮಂಡಳಿ ಸದಸ್ಯರಾಗಿ ದೇಶದ ವಿವಿಧ ಭಾಗಗಳಲ್ಲಿ ನಡೆದ ಪತ್ರಕರ್ತರ ಸಮಾವೇಶಗಳಲ್ಲಿ ಪಾಲ್ಗೊಂಡಿದ್ದಾರೆ.	14	Bhaarateeya kaaryanirata patrakartara okkootada raashtreeya mandali sadasyaraagi deshada vividha bhaagagalalli nadeda patrakartara samaaveshagalalli paalgondiddaare.	14	
