Kannada-Word,Part-of-Speech
ಮುನ್ನುಡಿ,N__NN
.,RD__PUNC
ತಮಿಳುನಾಡಿನಲ್ಲಿ,N__NNP
ಕೈಗಾರಿಕೆ,N__NN
",",RD__PUNC
ಮಾಹಿತಿ,N__NN
ತಂತ್ರಜ್ಞಾನ,N__NN
",",RD__PUNC
ವಿಶೇಷ,RP__INTF
ಆರ್ಥಿಕ,JJ
ವಲಯ,N__NN
ಮತ್ತು,CC__CCD
ವಿವಿಧ,JJ
ಕ್ಷೇತ್ರಗಳಲ್ಲಿನ,N__NN
ಗಮನಾರ್ಹ,JJ
ಅಭಿವೃದ್ಧಿ,N__NN
ಒಂದಿಗೆ,RP__RPD
ನಗರೀಕರಣದಲ್ಲಿ,N__NN
ತಮಿಳುನಾಡು,N__NNP
ಭಾರತದ,N__NNP
ಮೂರನೇ,QT__QTO
ಅತೀ,RP__INTF
ದೊಡ್ಡ,JJ
ರಾಜ್ಯವು,N__NN
ಆಗಿದೆ,V__VM__VF
.,RD__PUNC
ಕೈಗಾರಿಕಾ,JJ
ಅಭಿವೃದ್ಧಿಯನ್ನು,N__NN
ಉತ್ತೇಜಿಸುವಲ್ಲಿ,V__VM__VNG
ರಸ್ತೆಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಸೇತುವೆಗಳು,N__NN
ಮುಖ್ಯ,JJ
ಪಾತ್ರ,N__NN
ನಿರ್ವಹಿಸುತ್ತವೆ,V__VM__VF
.,RD__PUNC
ಕೈಗಾರಿಕಾ,JJ
ಬೆಳವಣಿಗೆ,N__NNV
",",RD__PUNC
ಹೆಚ್ಚುತ್ತಿರುವ,V__VNG
ವಾಹನಗಳ,N__NN
ಸಂಖ್ಯೆ,N__NN
ಮತ್ತು,CC__CCD
ಬಂದರುಗಳ,N__NN
ಅಭಿವೃದ್ಧಿಯು,N__NN
ವಾಹನಗಳ,N__NN
ದಟ್ಟಣೆಯನ್ನು,N__NNV
ಬಹುವಾಗಿ,RB
ಹೆಚ್ಚಿಸಿದೆ,V__VM__VF
.,RD__PUNC
ಅಗಲವಾದ,JJ
ರಸ್ತೆ,N__NN
",",RD__PUNC
ಸುರಕ್ಷಿತ,JJ
ಪ್ರಯಾಣ,N__NN
ಮತ್ತು,CC__CCD
ದಟ್ಟಣೆ,N__NNV
ನಿವಾರಣೆಯ,N__NNV
ಮುಖ್ಯ,JJ
ಉದ್ದೇಶಗಳ,N__NN
ಒಂದಿಗೆ,RP__RPD
